#4, Apicula, http://www.amazon.de/gp/richpub/listmania/byauthor/A49P2WJF75SZP?ref%5F=cm%5Faya%5Fbb%5Flists&amp;pldnSite=1
#7, Robert Amper, www.RobertAmper.de
#1, Drejalon, 
